Equipo,Voltaje,Compartimiento,Conector,CodigoComp,Posicion,Cable,Familia,ModeloHoja,Precio,Listado,Criterio,ModeloListado,CodigoOrden,Descripcion,VoltsAmp,Dimensiones,Peso,KWH,Garantia,ConectorBateria
"PE4500-60/80 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,STRYTEN F100 (CLASSIC),M1601208513A,3844,Master GNB List,order code,12-85-13,M1601208513A,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 510AH,30.63 x 12.69 x 22.2,954,10.4652,3 Yrs Full + 2 Prorated,SB175 Gray
"PE4500-60/80 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,STRYTEN F110 (FPX),M1501210013A,4380,Master GNB List,order code,12-100-13,M1501210013A,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 600AH,30.69 x 12.69  x 26.13 ,1096,12.312,5 Yrs Full,SB175 Gray 
"PE4500-60/80 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,STRYTEN F100 (CLASSIC),M1601212513A,4834,Master GNB List,order code,12-125-13,M1601212513A,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 750AH,30.63 x 12.81 x 31,1329,15.39,3 Yrs Full + 2 Prorated,SB175 Gray
"PE4500-60/80 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,STRYTEN T300 (CMX),M1701208513A,4133,Master GNB List,order code,12-85-13,M1701208513A,Tubular Flooded Lead Acid Industrial Battery,24V / 510AH,30.63 x 12.69 x 22.2,960,10.4652,5 Yrs Full + 1 Prorated,SB175 Gray
"PE4500-60/80 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,STRYTEN T300 (CMX),M1701212513A,5211,Master GNB List,order code,12-125-13,M1701212513A,Tubular Flooded Lead Acid Industrial Battery,24V / 750AH,30.63 x 12.81 x 31,1324,15.39,5 Yrs Full + 1 Prorated,SB175 Gray
"PE4500-60/80 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,HAWKER FLEX,12-FLX250-13WB (311B01P01T2-SBKY),8447.716667,Master Hawker List,order code,12-85-13,12-FLX250-13WB (311B01P01T2-SBKY),HAWKER Sealed TPPL Technologic Industrial Battery,24V / 250AH,30.75 X 12.75 X 25.25,630,,1 Year,N/A
"PE4500-60/80 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,HAWKER FLEX,12-FLX500-25 (310B79P01T2-SBKY),10451.82963,Master Hawker List,order code,12-85-13,12-FLX500-25 (310B79P01T2-SBKY),HAWKER Sealed TPPL Technologic Industrial Battery,24V / 500AH,30.43 X 12.88 X 25.88,1128,,1 Year,N/A
"PE4500-60/80 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,HAWKER FLEX,24FLX372_186 (310B34P02T-SBKY),8093.892593,Master Hawker List,order code,12-85-13,24FLX372_186 (310B34P02T-SBKY),HAWKER Sealed TPPL Technologic Industrial Battery,24V / 372AH,30.4 x 12.75 x 25,1006,,1 Year,N/A
"PE4500-60/80 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,HAWKER FLEX,12-FLX560-25 (310B79P02T2-SBKY),11495.94444,Master Hawker List,order code,12-85-13,12-FLX560-25 (310B79P02T2-SBKY),HAWKER Sealed TPPL Technologic Industrial Battery,24V / 560AH,30.43 X 12.88 X 31,1392,,1 Year,N/A
"PE4500-60/80 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,COOLPOWER,12-85-13,3795,Master CoolpowerList ,order code,12-85-13,12-85-13,Flooded Conventional Flat Plate Lead Acid Industrial Battery,24V / 510AH,30.63 x 12.69 x 22.2,1020,12,3Yrs Full + 1Yrs Prorated,SB175 Gray
"PE4500-60/80 (7"")",24,34.44 x 6.69 x 31.62,SB175 GRAY,6.69,A,20,STRYTEN F100 (CLASSIC),M1601208507G,2329,Master GNB List,order code,12-85-7,M1601208507G,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 255AH,33.81 x 6.56 x 23.25,554,5.2326,3 Yrs Full + 2 Prorated,SB175 Gray
"PE4500-60/80 (7"")",24,34.44 x 6.69 x 31.62,SB175 GRAY,6.69,A,20,STRYTEN F100 (CLASSIC),M1601210007G,2555,Master GNB List,order code,12-100-07,M1601210007G,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 300AH,33.81 x 6.63 x 26.13,634,6.156,3 Yrs Full + 2 Prorated,SB175 Gray
"PR/PC4500-60/80 (13"")",24,31.12 x 13.19 x 31,SB175 GRAY,13.19,A,20,V-FORCE VTR,12-90VTR-13,4969.444444,V-Force VTR Battery,order code,12-85-13,12-90VTR-13,Tubular Flooded Lead Acid Industrial Battery,24/540,30.65 x 12.71 x 23.12,983,12.57,5 Years,
"PR/PC4500-60/80 (13"")",24,31.12 x 13.19 x 31,SB175 GRAY,13.19,A,20,V-FORCE VTR,12-125VTR-13,6688.888889,V-Force VTR Battery,order code,12-125-13,12-125VTR-13,Tubular Flooded Lead Acid Industrial Battery,24/750,30.65 x 12.71 x 30.81,1392,17.37,5 Years,
"PR/PC4500-60/80 (13"")",24,31.12 x 13.19 x 31,SB175 GRAY,13.19,A,20,STRYTEN F100 (CLASSIC),M1601208513A,3844,Master GNB List,order code,12-85-13,M1601208513A,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 510AH,30.63 x 12.69 x 22.2,954,10.4652,3 Yrs Full + 2 Prorated,SB175 Gray
"PR/PC4500-60/80 (13"")",24,31.12 x 13.19 x 31,SB175 GRAY,13.19,A,20,STRYTEN F100 (CLASSIC),M1601212513A,4834,Master GNB List,order code,12-125-13,M1601212513A,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 750AH,30.63 x 12.81 x 31,1329,15.39,3 Yrs Full + 2 Prorated,SB175 Gray
"PR/PC4500-60/80 (13"")",24,31.12 x 13.19 x 31,SB175 GRAY,13.19,A,20,STRYTEN T300 (CMX),M1701208513A,4133,Master GNB List,order code,12-85-13,M1701208513A,Tubular Flooded Lead Acid Industrial Battery,24V / 510AH,30.63 x 12.69 x 22.2,960,10.4652,5 Yrs Full + 1 Prorated,SB175 Gray
"PR/PC4500-60/80 (13"")",24,31.12 x 13.19 x 31,SB175 GRAY,13.19,A,20,STRYTEN T300 (CMX),M1701212513A,5211,Master GNB List,order code,12-125-13,M1701212513A,Tubular Flooded Lead Acid Industrial Battery,24V / 750AH,30.63 x 12.81 x 31,1324,15.39,5 Yrs Full + 1 Prorated,SB175 Gray
"PR/PC4500-60/80 (13"")",24,31.12 x 13.19 x 31,SB175 GRAY,13.19,A,20,COOLPOWER,12-85-13,3795,Master CoolpowerList ,order code,12-85-13,12-85-13,Flooded Conventional Flat Plate Lead Acid Industrial Battery,24V / 510AH,30.63 x 12.69 x 22.2,1020,12,3Yrs Full + 1Yrs Prorated,SB175 Gray
"PR/PC4500-60/80 (13"")",24,31.12 x 13.19 x 31,SB175 GRAY,13.19,A,20,STRYTEN F110 (FPX),M1501210013A,4380,Master GNB List,order code,12-100-13,M1501210013A,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 600AH,30.69 x 12.69  x 26.13 ,1096,12.312,5 Yrs Full,SB175 Gray 
"PW3510-60 12v (8"")",12,31.12 x 7.94 x 23.38,SB350 GRAY,7.94,A,20,COOLPOWER,6-85-13,2220,Master CoolpowerList ,order code,6-85-13,6-85-13,2q,12V / 510AH,30.87 x 7.75 x 23.25,1020,5.91,3Yrs Full + 1Yrs Prorated,SB175 Gray
"PW3520-60/80 24v (13"")",24,31.1 x 13.19 x 23.38,SB175 GRAY,13.19,A,20,STRYTEN F100 (CLASSIC),M1601208513A,3844,Master GNB List,order code,12-85-13,M1601208513A,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 510AH,30.63 x 12.69 x 22.2,954,10.4652,3 Yrs Full + 2 Prorated,SB175 Gray
"PW3520-60/80 24v (13"")",24,31.1 x 13.19 x 23.38,SB175 GRAY,13.19,A,20,STRYTEN F100 (CLASSIC),M1601212513A,4834,Master GNB List,order code,12-125-13,M1601212513A,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 750AH,30.63 x 12.81 x 31,1329,15.39,3 Yrs Full + 2 Prorated,SB175 Gray
"PW3520-60/80 24v (13"")",24,31.1 x 13.19 x 23.38,SB175 GRAY,13.19,A,20,STRYTEN T300 (CMX),M1701208513A,4133,Master GNB List,order code,12-85-13,M1701208513A,Tubular Flooded Lead Acid Industrial Battery,24V / 510AH,30.63 x 12.69 x 22.2,960,10.4652,5 Yrs Full + 1 Prorated,SB175 Gray
"PW3520-60/80 24v (13"")",24,31.1 x 13.19 x 23.38,SB175 GRAY,13.19,A,20,STRYTEN T300 (CMX),M1701212513A,5211,Master GNB List,order code,12-125-13,M1701212513A,Tubular Flooded Lead Acid Industrial Battery,24V / 750AH,30.63 x 12.81 x 31,1324,15.39,5 Yrs Full + 1 Prorated,SB175 Gray
"PW3520-60/80 24v (13"")",24,31.1 x 13.19 x 23.38,SB175 GRAY,13.19,A,20,COOLPOWER,12-85-13,3795,Master CoolpowerList ,order code,12-85-13,12-85-13,Flooded Conventional Flat Plate Lead Acid Industrial Battery,24V / 510AH,30.63 x 12.69 x 22.2,1020,12,3Yrs Full + 1Yrs Prorated,SB175 Gray
"PW3520-60/80 24v (7"")",24,34.44 x 6.69 x 23.38,SB175 GRAY,6.69,A,20,STRYTEN F100 (CLASSIC),M2601208507GA,2312,Master GNB List,order code,12-85-7,M2601208507GA,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 255AH,34.25 x 6.56 x 22.2,545,5.2326,3 Yrs Full + 2 Prorated,SB175 Gray
"PW3520-60/80 24v (7"")",24,34.44 x 6.69 x 23.38,SB175 GRAY,6.69,B,20,COOLPOWER,12-85-7,2739,Master CoolpowerList ,order code,12-85-7,12-85-7,Flooded Conventional Flat Plate Lead Acid Industrial Battery,24V / 255AH,25.38 x 8.69 x 23.25,650,5.91,3Yrs Full + 1Yrs Prorated,SB175 Gray
"RC5710/15-30 (14"")",36,38.56 x 13.6 x 31,SB350 GRAY,Code B4,A,12,V-FORCE VTR,18-125VTR-11,8640.277778,V-Force VTR Battery,order code,18-125-11,18-125VTR-11,Tubular Flooded Lead Acid Industrial Battery,36/625,38.02 x 13.34 x 30.50,1800,21.71,5 Years,
"RC5710/15-30 (14"")",36,38.56 x 13.6 x 31,SB350 GRAY,Code B4,A,12,STRYTEN F100 (CLASSIC),M2601812511B,6290,Master GNB List,order code,18-125-11,M2601812511B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 625AH,38.01 x 13.25 x 30.5,1707,19.2375,3 Yrs Full + 2 Prorated,SB350 Gray
"RC5710/15-30 (14"")",36,38.56 x 13.6 x 31,SB350 GRAY,Code B4,A,12,STRYTEN T300 (CMX),M2701812511B,6782,Master GNB List,order code,18-125-11,M2701812511B,Tubular Flooded Lead Acid Industrial Battery,36V / 625AH,38.01 x 13.25 x 30.5,1701,19.2375,5 Yrs Full + 1 Prorated,SB350 Gray
"RC5710/15-30 (14"")",36,38.56 x 13.6 x 31,SB350 GRAY,Code B4,A,12,HAWKER FLEX,36FLX372_186 (206669T-SBKN(510738)),11987.29259,Master Hawker List,order code,18-125-11,36FLX372_186 (206669T-SBKN(510738)),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 372AH,38.02 X 13.31 X 26.61,1800,,1 Year,N/A
"RC5710/15-30 (14"")",36,38.56 x 13.6 x 31,SB350 GRAY,Code B4,A,12,COOLPOWER,18-125-11,6279.268506,Master CoolpowerList ,order code,18-125-11,18-125-11,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 625AH,38.01 x 13.25 x 30.5,1944,21.83,3Yrs Full + 1Yrs Prorated,SB350 Gray
"RC5710/15-30 (14"")",36,38.56 x 13.6 x 31,SB350 GRAY,Code B4,A,12,V-FORCE TUBULAR,18-125VTA-11,8049.111111,V-Force VTA-VTE Battery,order code,18-125-11,18-125VTA-11,Tubular Low Maintenance Lead Acid Industrial Battery,36/625,38.1 x 13.38 x 30.5,1815,21.83,5 Years,N
"RC5710/15-30 (14"")",36,38.56 x 13.6 x 31,SB350 GRAY,Code B4,A,12,V-FORCE TUBULAR,18-140VTE-11,8950.044444,V-Force VTA-VTE Battery,order code,18-125-11,18-140VTE-11,Tubular High Capacity Lead Acid Industrial Battery,36/700,38.02 x 13.34 x 30.5,1818,24.44,5 Years,N
"RC5720/25-30 (16"")",36,38.56 x 15.88 x 31,SB350 GRAY,C3,A,12,V-FORCE VTR,18-125VTR-13,9852.777778,V-Force VTR Battery,order code,18-125-13,18-125VTR-13,Tubular Flooded Lead Acid Industrial Battery,36/750,37.91 x 15.59 x 30.5,2088,26.06,5 Years,
"RC5720/25-30 (16"")",36,38.56 x 15.88 x 31,SB350 GRAY,C3,A,12,STRYTEN F100 (CLASSIC),M2601812513B,7163,Master GNB List,order code,18-125-13,M2601812513B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 750AH,37.94 x 15.63 x 30.5,2042,23.085,3 Yrs Full + 2 Prorated,SB350 Gray
"RC5720/25-30 (16"")",36,38.56 x 15.88 x 31,SB350 GRAY,C3,A,12,V-FORCE TUBULAR,18-125VTA-13,9392.133333,V-Force VTA-VTE Battery,order code,18-125-13,18-125VTA-13,Tubular Low Maintenance Lead Acid Industrial Battery,36/750,38.1 x 15.59 x 30.5,2061,26.19,5 Years,N
"RC5720/25-30 (16"")",36,38.56 x 15.88 x 31,SB350 GRAY,C3,A,12,STRYTEN T300 (CMX),M2701812513B,7730,Master GNB List,order code,18-125-13,M2701812513B,Tubular Flooded Lead Acid Industrial Battery,36V / 750AH,37.94 x 15.63 x 30.5,2034,23.085,5 Yrs Full + 1 Prorated,SB350 Gray
"RC5720/25-30 (16"")",36,38.56 x 15.88 x 31,SB350 GRAY,C3,A,12,HAWKER FLEX,18-FLX560-25 (310B66P02T2-SBKN),15151.68148,Master Hawker List,order code,18-125-13,18-FLX560-25 (310B66P02T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 560AH,38.00 X 15.25 X 30.75,2088,,1 Year,N/A
"RC5720/25-30 (16"")",36,38.56 x 15.88 x 31,SB350 GRAY,C3,A,12,HAWKER FLEX,36FLX558_186 (206657T-SBKN),18346.77963,Master Hawker List,order code,18-125-13,36FLX558_186 (206657T-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 558AH,38.28 X 15.53 X 29.94,2235,,1 Year,N/A
"RC5720/25-30 (16"")",36,38.56 x 15.88 x 31,SB350 GRAY,C3,A,12,COOLPOWER,18-125-13,6909.100044,Master CoolpowerList ,order code,18-125-13,18-125-13,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 750AH,37.94 x 15.63 x 30.5,2250,26.19,3Yrs Full + 1Yrs Prorated,SB350 Gray
"RC5720/25-30 (16"")",36,38.56 x 15.88 x 31,SB350 GRAY,C3,A,12,V-FORCE TUBULAR,18-140VTE-13,10463.2,V-Force VTA-VTE Battery,order code,18-125-13,18-140VTE-13,Tubular High Capacity Lead Acid Industrial Battery,36/840,37.91 x 15.59 x 30.5,2113,29.33,5 Years,N
"RC5720/25-30 (16"")",36,38.56 x 15.88 x 31,SB350 GRAY,C3,A,12,V-FORCE VTR,18-125VTR-13,9852.777778,V-Force VTR Battery,order code,18-125-13,18-125VTR-13,Tubular Flooded Lead Acid Industrial Battery,36/750,37.91 x 15.59 x 30.5,2088,26.06,5 Years,
"RC5730/35-30 (18"")",36,38.56 x 18.2 x 31,SB350 GRAY,Code D-3,A,12,V-FORCE VTR,18-125VTR-15,11463.88889,V-Force VTR Battery,order code,18-125-15,18-125VTR-15,Tubular Flooded Lead Acid Industrial Battery,36/875,38.27 x 17.72 x 30.5,2376,30.4,5 Years,
"RC5730/35-30 (18"")",36,38.56 x 18.2 x 31,SB350 GRAY,Code D-3,A,12,STRYTEN F100 (CLASSIC),M2601812515B,8089,Master GNB List,order code,18-125-15,M2601812515B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 875AH,38.31 x 17.88 x 30.5,2349,26.9325,3 Yrs Full + 2 Prorated,SB350 Gray
"RC5730/35-30 (18"")",36,38.56 x 18.2 x 31,SB350 GRAY,Code D-3,A,12,STRYTEN T300 (CMX),M2701812515B,8735,Master GNB List,order code,18-125-15,M2701812515B,Tubular Flooded Lead Acid Industrial Battery,36V / 875AH,38.31 x 17.88 x 30.5,2330,26.9325,5 Yrs Full + 1 Prorated,SB350 Gray
"RC5730/35-30 (18"")",36,38.56 x 18.2 x 31,SB350 GRAY,Code D-3,A,12,V-FORCE TUBULAR,18-125VTA-15,10711.95556,V-Force VTA-VTE Battery,order code,18-125-15,18-125VTA-15,Tubular Low Maintenance Lead Acid Industrial Battery,36/875,38.31 x 17.86 x 30.5,2354,30.56,5 Years,N
"RC5730/35-30 (18"")",36,38.56 x 18.2 x 31,SB350 GRAY,Code D-3,A,12,HAWKER FLEX,18-FLX625-31** (310B52P01T2-SBKN),18632.50926,Master Hawker List,order code,18-125-15,18-FLX625-31** (310B52P01T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 625AH,38.19 X 17.75 X 30.75,2412,,1 Year,N/A
"RC5730/35-30 (18"")",36,38.56 x 18.2 x 31,SB350 GRAY,Code D-3,A,12,HAWKER FLEX,18-FLX700-31 (206812T2-SBKN),18227.94815,Master Hawker List,order code,18-125-15,18-FLX700-31 (206812T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 700AH,38.33 x 17.75 x 30.56,2400,,1 Year,N/A
"RC5730/35-30 (18"")",36,38.56 x 18.2 x 31,SB350 GRAY,Code D-3,A,12,COOLPOWER,18-125-15,7924.377048,Master CoolpowerList ,order code,18-125-15,18-125-15,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 875AH,38.31 x 17.88 x 30.5,2556,30.56,3Yrs Full + 1Yrs Prorated,SB350 Gray
"RC5730/35-30 (18"")",36,38.56 x 18.2 x 31,SB350 GRAY,Code D-3,A,12,V-FORCE TUBULAR,18-140VTE-15,11948,V-Force VTA-VTE Battery,order code,18-125-15,18-140VTE-15,Tubular High Capacity Lead Acid Industrial Battery,36/980,38.31 x 17.86 x 30.5,2448,34.22,5 Years,N
"RC5740/45-40 (20"")",36,38.56 x 20.5 x 31,SB350 GRAY,Code E-3,A,12,V-FORCE VTR,18-125VTR-17B,12730.55556,V-Force VTR Battery,order code,18-125-17,18-125VTR-17B,Tubular Flooded Lead Acid Industrial Battery,36/1000,38.38 x 20.42 x 30.88,2808,34.74,5 Years,
"RC5740/45-40 (20"")",36,38.56 x 20.5 x 31,SB350 GRAY,Code E-3,A,12,STRYTEN F100 (CLASSIC),M2601812517B,9251,Master GNB List,order code,18-125-17,M2601812517B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 1000AH,38.31 x 20.13 x 30.5,2673,30.78,3 Yrs Full + 2 Prorated,SB350 Gray
"RC5740/45-40 (20"")",36,38.56 x 20.5 x 31,SB350 GRAY,Code E-3,A,12,STRYTEN T300 (CMX),M2701812517B,9993,Master GNB List,order code,18-125-17,M2701812517B,Tubular Flooded Lead Acid Industrial Battery,36V / 1000AH,38.31 x 20.13 x 30.5,2652,30.78,5 Yrs Full + 1 Prorated,SB350 Gray
"RC5740/45-40 (20"")",36,38.56 x 20.5 x 31,SB350 GRAY,Code E-3,A,12,HAWKER FLEX,18-FLX750-37** (310B47P01T2-SBKN),20900.98889,Master Hawker List,order code,18-125-17,18-FLX750-37** (310B47P01T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 750AH,37.12 X 20.25 X 30.75,2718,,1 Year,N/A
"RC5740/45-40 (20"")",36,38.56 x 20.5 x 31,SB350 GRAY,Code E-3,A,12,HAWKER FLEX,18-FLX840-37 (CUSTOM),20900.98889,Master Hawker List,order code,18-125-17,18-FLX840-37 (CUSTOM),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 840AH,38.25 X 20.25 X 30.75,2760,,1 Year,N/A
"RC5740/45-40 (20"")",36,38.56 x 20.5 x 31,SB350 GRAY,Code E-3,A,12,HAWKER FLEX,18-FLX840-37 (206813T2-SBKN),20900.98889,Master Hawker List,order code,18-125-17,18-FLX840-37 (206813T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 840AH,38.33 X 20.21 X 30.56,2737,,1 Year,N/A
"RC5740/45-40 (20"")",36,38.56 x 20.5 x 31,SB350 GRAY,Code E-3,A,12,HAWKER FLEX,36FLX558_186 (510548T-SGRN CUSTOM),20042.46481,Master Hawker List,order code,36FLX558_186 (510548T-SGRN CUSTOM),36FLX558_186 (510548T-SGRN CUSTOM),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 558AH,38.27 x 20.15 x 25.75,2600,,1 Year,N/A
"RC5740/45-40 (20"")",36,38.56 x 20.5 x 31,SB350 GRAY,Code E-3,A,12,COOLPOWER,18-125-17,8902.605138,Master CoolpowerList ,order code,18-125-17,18-125-17,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 1000AH,38.31 x 20.13 x 30.5,2844,34.74,3Yrs Full + 1Yrs Prorated,SB350 Gray
"RC5740/45-40 (20"")",36,38.56 x 20.5 x 31,SB350 GRAY,Code E-3,A,12,V-FORCE TUBULAR,18-125VTA-17,12265.06667,V-Force VTA-VTE Battery,order code,18-125-17,18-125VTA-17,Tubular Low Maintenance Lead Acid Industrial Battery,36/1000,38.27x20.1x30.5,2614,34.74,5 Years,N
"RC5740/45-40 (20"")",36,38.56 x 20.5 x 31,SB350 GRAY,Code E-3,A,12,V-FORCE TUBULAR,18-140VTE-17,13662.22222,V-Force VTA-VTE Battery,order code,18-125-17,18-140VTE-17,Tubular High Capacity Lead Acid Industrial Battery,36/1120,38.27x20.1x30.5,2701,38.91,5 Years,N
"RC5755-40 (22"")",36,38.56 x 22.8 x 31,SB350 GRAY,Code F-3,A,12,V-FORCE VTR,18-125VTR-19,14315.27778,V-Force VTR Battery,order code,18-125-19,18-125VTR-19,Tubular Flooded Lead Acid Industrial Battery,36/1125,38.56 x 22.66 x 30.92,3100,39.08,5 Years,
"RC5755-40 (22"")",36,38.56 x 22.8 x 31,SB350 GRAY,Code F-3,A,12,STRYTEN T300 (CMX),M2701812519B,11172,Master GNB List,order code,18-125-19,M2701812519B,Tubular Flooded Lead Acid Industrial Battery,36V / 1125AH,38.31 x 22.38 x 30.5,3100,34.6275,5 Yrs Full + 1 Prorated,SB350 Gray
"RC5755-40 (22"")",36,38.56 x 22.8 x 31,SB350 GRAY,Code F-3,A,12,V-FORCE TUBULAR,18-125VTA-19,13752.44444,V-Force VTA-VTE Battery,order code,18-125-19,18-125VTA-19,Tubular Low Maintenance Lead Acid Industrial Battery,36/1125,38.31 x 22.38 x 30.5,3118,39.29,5 Years,N
"RC5755-40 (22"")",36,38.56 x 22.8 x 31,SB350 GRAY,Code F-3,A,12,V-FORCE TUBULAR,18-140VTE-19,15296.53333,V-Force VTA-VTE Battery,order code,18-125-19,18-140VTE-19,Tubular High Capacity Lead Acid Industrial Battery,36/1260,38.21x22.38x30.5,3184,44,5 Years,N
"RC5755-40 (22"")",36,38.56 x 22.8 x 31,SB350 GRAY,Code F-3,A,12,,18-FLX840-37 (206950T2-SBKN),23118.73148,,sin match,,18-FLX840-37 (206950T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 840AH,38.31 X 22.31 X 30.56,3168,,1 Year,
"RM/RMD6025 - RM/RMD6095S (16"")",36,38.38 x 16.25 x 31,SB350 GRAY,C14,A,9,V-FORCE VTR,18-125VTR-13,9852.777778,V-Force VTR Battery,order code,18-125-13,18-125VTR-13,Tubular Flooded Lead Acid Industrial Battery,36/750,37.91 x 15.59 x 30.5,2088,26.06,5 Years,
"RM/RMD6025 - RM/RMD6095S (16"")",36,38.38 x 16.25 x 31,SB350 GRAY,C14,A,9,STRYTEN F100 (CLASSIC),M2601812513B,7163,Master GNB List,order code,18-125-13,M2601812513B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 750AH,37.94 x 15.63 x 30.5,2042,23.085,3 Yrs Full + 2 Prorated,SB350 Gray
"RM/RMD6025 - RM/RMD6095S (16"")",36,38.38 x 16.25 x 31,SB350 GRAY,C14,A,9,STRYTEN T300 (CMX),M2701812513B,7730,Master GNB List,order code,18-125-13,M2701812513B,Tubular Flooded Lead Acid Industrial Battery,36V / 750AH,37.94 x 15.63 x 30.5,2034,23.085,5 Yrs Full + 1 Prorated,SB350 Gray
"RM/RMD6025 - RM/RMD6095S (16"")",36,38.38 x 16.25 x 31,SB350 GRAY,C14,A,9,HAWKER FLEX,18-FLX560-25 (310B66P02T2-SBKN),15151.68148,Master Hawker List,order code,18-125-13,18-FLX560-25 (310B66P02T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 560AH,38.00 X 15.25 X 30.75,2088,,1 Year,N/A
"RM/RMD6025 - RM/RMD6095S (16"")",36,38.38 x 16.25 x 31,SB350 GRAY,C14,A,9,COOLPOWER,18-125-13,6909.100044,Master CoolpowerList ,order code,18-125-13,18-125-13,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 750AH,37.94 x 15.63 x 30.5,2250,26.19,3Yrs Full + 1Yrs Prorated,SB350 Gray
"RM/RMD6025 - RM/RMD6095S (16"")",36,38.38 x 16.25 x 31,SB350 GRAY,C14,A,9,HAWKER FLEX,36FLX558_186 (206657T-SBKN),18346.77963,Master Hawker List,order code,18-125-13,36FLX558_186 (206657T-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 558AH,38.28 X 15.53 X 29.94,2235,,1 Year,N/A
"RM/RMD6025 - RM/RMD6095S (16"")",36,38.38 x 16.25 x 31,SB350 GRAY,C14,A,9,HAWKER FLEX,18-FLX560-25 (310B66P02T2-SBKN),15151.68148,Master Hawker List,order code,18-125-13,18-FLX560-25 (310B66P02T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 560AH,38.00 X 15.25 X 30.75,2088,,1 Year,N/A
"RM/RMD6025 - RM/RMD6095S (18"")",36,38.69 x 18 x 31,SB350 GRAY,D24,A,9,V-FORCE VTR,18-125VTR-15,11463.88889,V-Force VTR Battery,order code,18-125-15,18-125VTR-15,Tubular Flooded Lead Acid Industrial Battery,36/875,38.27 x 17.72 x 30.5,2376,30.4,5 Years,
"RM/RMD6025 - RM/RMD6095S (18"")",36,38.69 x 18 x 31,SB350 GRAY,D24,A,9,STRYTEN F100 (CLASSIC),M2601812515B,8089,Master GNB List,order code,18-125-15,M2601812515B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 875AH,38.31 x 17.88 x 30.5,2349,26.9325,3 Yrs Full + 2 Prorated,SB350 Gray
"RM/RMD6025 - RM/RMD6095S (18"")",36,38.69 x 18 x 31,SB350 GRAY,D24,A,9,STRYTEN T300 (CMX),M2701812515B,8735,Master GNB List,order code,18-125-15,M2701812515B,Tubular Flooded Lead Acid Industrial Battery,36V / 875AH,38.31 x 17.88 x 30.5,2330,26.9325,5 Yrs Full + 1 Prorated,SB350 Gray
"RM/RMD6025 - RM/RMD6095S (18"")",36,38.69 x 18 x 31,SB350 GRAY,D24,A,9,HAWKER FLEX,18-FLX625-31** (310B52P01T2-SBKN),18632.50926,Master Hawker List,order code,18-125-15,18-FLX625-31** (310B52P01T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 625AH,38.19 X 17.75 X 30.75,2412,,1 Year,N/A
